impl,dataset,width,height,pixels,rate_hz,period_ms,jobs,deadline_misses,deadline_miss_rate,compute_p50_ms,compute_p95_ms,compute_p99_ms,compute_max_ms,compute_mean_ms,response_p50_ms,response_p99_ms,response_max_ms,worst_finish_vs_deadline_ms,worst_start_vs_release_ms,worst_finish_vs_deadline_periods,utilisation,sustainable_hz_p50,sustainable_hz_p99
cpp,table_320x240,320,240,76800,10,100.0000,200,0,0.000000,13.3874,16.8222,30.4276,32.3274,14.2435,13.6339,30.6889,32.5509,-67.4491,0.4908,-0.674,0.1424,74.70,32.86
cpp,table_320x240,320,240,76800,30,33.3333,200,0,0.000000,13.1778,14.2607,14.9948,17.0353,13.2447,13.3825,15.2322,17.2639,-16.0695,0.2891,-0.482,0.3973,75.89,66.69
cpp,table_320x240,320,240,76800,100,10.0000,200,200,1.000000,13.2335,14.7156,20.4916,23.8200,13.4672,400.6890,712.1461,718.3570,708.3570,705.0796,70.836,1.3467,75.57,48.80
cpp,table_320x240,320,240,76800,250,4.0000,200,200,1.000000,13.1319,14.3963,15.3264,15.4839,13.2032,957.1029,1839.8753,1858.6181,1854.6181,1845.0811,463.655,3.3008,76.15,65.25
py,table_320x240,320,240,76800,10,100.0000,200,0,0.000000,23.9000,27.7575,35.6588,36.8523,24.5171,24.0805,35.9115,37.0968,-62.9032,1.3168,-0.629,0.2452,41.84,28.04
py,table_320x240,320,240,76800,30,33.3333,200,1,0.005000,23.6494,26.9926,28.7339,37.0617,23.9793,23.7844,28.9512,37.2476,3.9143,3.9298,0.117,0.7194,42.28,34.80
py,table_320x240,320,240,76800,100,10.0000,200,200,1.000000,22.7836,25.2480,34.4218,38.1224,23.1187,1306.8583,2612.2234,2638.6212,2628.6212,2615.4333,262.862,2.3119,43.89,29.05
py,table_320x240,320,240,76800,250,4.0000,200,200,1.000000,22.6677,25.4675,32.0675,35.6592,23.0452,1955.3122,3776.8389,3817.8143,3813.8143,3793.4111,953.454,5.7613,44.12,31.18
cpp,table_640x480,640,480,307200,10,100.0000,200,0,0.000000,53.5588,60.8752,71.7493,78.6666,54.3376,53.7670,71.9238,78.9012,-21.0988,0.3065,-0.211,0.5434,18.67,13.94
cpp,table_640x480,640,480,307200,30,33.3333,200,200,1.000000,53.3257,57.2618,69.0832,102.5196,53.7840,2160.3405,4099.3000,4141.5977,4108.2643,4087.0329,123.248,1.6135,18.75,14.48
cpp,table_640x480,640,480,307200,100,10.0000,200,200,1.000000,53.1189,57.7205,66.9034,98.7178,53.8062,4425.9027,8692.4542,8788.7237,8778.7237,8733.9462,877.872,5.3806,18.83,14.95
cpp,table_640x480,640,480,307200,250,4.0000,200,200,1.000000,52.8630,55.9950,62.1677,66.3710,53.0884,4974.6697,9739.1025,9839.4117,9835.4117,9785.5636,2458.853,13.2721,18.92,16.09
py,table_640x480,640,480,307200,10,100.0000,200,7,0.035000,85.4941,94.1643,108.1793,112.3030,86.4160,85.6398,108.3144,117.4395,17.4395,17.4499,0.174,0.8642,11.70,9.24
py,table_640x480,640,480,307200,30,33.3333,200,200,1.000000,85.0294,93.7709,96.7264,102.3515,85.8005,5301.7049,10416.4072,10531.6077,10498.2743,10441.5741,314.948,2.5740,11.76,10.34
py,table_640x480,640,480,307200,100,10.0000,200,200,1.000000,85.4265,93.7890,97.4134,102.5566,86.2218,7801.9189,15104.4903,15259.3197,15249.3197,15169.2701,1524.932,8.6222,11.71,10.27
py,table_640x480,640,480,307200,250,4.0000,200,200,1.000000,84.7242,90.3412,96.6171,96.8957,85.1970,8297.8483,16082.7914,16248.1420,16244.1420,16160.1655,4061.035,21.2992,11.80,10.35
