impl,dataset,transport,width,height,pixels,scope,metric,value
cpp,table_1280x720,inproc,1280,720,921600,total,p50_ns,121624403.0
cpp,table_1280x720,inproc,1280,720,921600,total,p90_ns,132743968.0
cpp,table_1280x720,inproc,1280,720,921600,total,p95_ns,135207927.0
cpp,table_1280x720,inproc,1280,720,921600,total,p99_ns,140630446.0
cpp,table_1280x720,inproc,1280,720,921600,total,p99.9_ns,161517129.0
cpp,table_1280x720,inproc,1280,720,921600,total,max_ns,175882075.0
cpp,table_1280x720,inproc,1280,720,921600,total,mean_ns,123020724.144
cpp,table_1280x720,inproc,1280,720,921600,total,samples,2000
cpp,table_1280x720,inproc,1280,720,921600,stage:decode,p50_ns,25.0
cpp,table_1280x720,inproc,1280,720,921600,stage:decode,p90_ns,27.0
cpp,table_1280x720,inproc,1280,720,921600,stage:decode,p95_ns,28.0
cpp,table_1280x720,inproc,1280,720,921600,stage:decode,p99_ns,37.0
cpp,table_1280x720,inproc,1280,720,921600,stage:decode,p99.9_ns,45.0
cpp,table_1280x720,inproc,1280,720,921600,stage:decode,max_ns,246.0
cpp,table_1280x720,inproc,1280,720,921600,stage:decode,mean_ns,25.755
cpp,table_1280x720,inproc,1280,720,921600,stage:deproject,p50_ns,2080392.0
cpp,table_1280x720,inproc,1280,720,921600,stage:deproject,p90_ns,2386305.0
cpp,table_1280x720,inproc,1280,720,921600,stage:deproject,p95_ns,2457543.0
cpp,table_1280x720,inproc,1280,720,921600,stage:deproject,p99_ns,2692405.0
cpp,table_1280x720,inproc,1280,720,921600,stage:deproject,p99.9_ns,3796250.0
cpp,table_1280x720,inproc,1280,720,921600,stage:deproject,max_ns,4082891.0
cpp,table_1280x720,inproc,1280,720,921600,stage:deproject,mean_ns,2149267.1835
cpp,table_1280x720,inproc,1280,720,921600,stage:transform_crop,p50_ns,3035611.0
cpp,table_1280x720,inproc,1280,720,921600,stage:transform_crop,p90_ns,3333717.0
cpp,table_1280x720,inproc,1280,720,921600,stage:transform_crop,p95_ns,3417514.0
cpp,table_1280x720,inproc,1280,720,921600,stage:transform_crop,p99_ns,4037440.0
cpp,table_1280x720,inproc,1280,720,921600,stage:transform_crop,p99.9_ns,4928441.0
cpp,table_1280x720,inproc,1280,720,921600,stage:transform_crop,max_ns,6940454.0
cpp,table_1280x720,inproc,1280,720,921600,stage:transform_crop,mean_ns,3103573.3585
cpp,table_1280x720,inproc,1280,720,921600,stage:plane,p50_ns,116291901.0
cpp,table_1280x720,inproc,1280,720,921600,stage:plane,p90_ns,126882777.0
cpp,table_1280x720,inproc,1280,720,921600,stage:plane,p95_ns,129284911.0
cpp,table_1280x720,inproc,1280,720,921600,stage:plane,p99_ns,134536654.0
cpp,table_1280x720,inproc,1280,720,921600,stage:plane,p99.9_ns,156305278.0
cpp,table_1280x720,inproc,1280,720,921600,stage:plane,max_ns,170549385.0
cpp,table_1280x720,inproc,1280,720,921600,stage:plane,mean_ns,117533980.4445
cpp,table_1280x720,inproc,1280,720,921600,stage:cluster,p50_ns,169451.0
cpp,table_1280x720,inproc,1280,720,921600,stage:cluster,p90_ns,289574.0
cpp,table_1280x720,inproc,1280,720,921600,stage:cluster,p95_ns,325692.0
cpp,table_1280x720,inproc,1280,720,921600,stage:cluster,p99_ns,425734.0
cpp,table_1280x720,inproc,1280,720,921600,stage:cluster,p99.9_ns,568459.0
cpp,table_1280x720,inproc,1280,720,921600,stage:cluster,max_ns,655473.0
cpp,table_1280x720,inproc,1280,720,921600,stage:cluster,mean_ns,177674.24
cpp,table_1280x720,inproc,1280,720,921600,stage:grasp,p50_ns,24642.0
cpp,table_1280x720,inproc,1280,720,921600,stage:grasp,p90_ns,39175.0
cpp,table_1280x720,inproc,1280,720,921600,stage:grasp,p95_ns,48419.0
cpp,table_1280x720,inproc,1280,720,921600,stage:grasp,p99_ns,79385.0
cpp,table_1280x720,inproc,1280,720,921600,stage:grasp,p99.9_ns,112765.0
cpp,table_1280x720,inproc,1280,720,921600,stage:grasp,max_ns,141187.0
cpp,table_1280x720,inproc,1280,720,921600,stage:grasp,mean_ns,26436.5695
cpp,table_1280x720,inproc,1280,720,921600,stage:ik,p50_ns,24984.0
cpp,table_1280x720,inproc,1280,720,921600,stage:ik,p90_ns,38857.0
cpp,table_1280x720,inproc,1280,720,921600,stage:ik,p95_ns,55547.0
cpp,table_1280x720,inproc,1280,720,921600,stage:ik,p99_ns,76155.0
cpp,table_1280x720,inproc,1280,720,921600,stage:ik,p99.9_ns,108200.0
cpp,table_1280x720,inproc,1280,720,921600,stage:ik,max_ns,116312.0
cpp,table_1280x720,inproc,1280,720,921600,stage:ik,mean_ns,28687.846
cpp,table_1280x720,inproc,1280,720,921600,stage:traj,p50_ns,999.0
cpp,table_1280x720,inproc,1280,720,921600,stage:traj,p90_ns,1380.0
cpp,table_1280x720,inproc,1280,720,921600,stage:traj,p95_ns,1552.0
cpp,table_1280x720,inproc,1280,720,921600,stage:traj,p99_ns,2051.0
cpp,table_1280x720,inproc,1280,720,921600,stage:traj,p99.9_ns,8101.0
cpp,table_1280x720,inproc,1280,720,921600,stage:traj,max_ns,29081.0
cpp,table_1280x720,inproc,1280,720,921600,stage:traj,mean_ns,1078.747
cpp,table_1280x720,inproc,1280,720,921600,total,p99_ci_low_ns,139662189.0
cpp,table_1280x720,inproc,1280,720,921600,total,p99_ci_high_ns,142072867.0
cpp,table_1280x720,inproc,1280,720,921600,run,over_budget_fraction,1.0
cpp,table_1280x720,inproc,1280,720,921600,run,distinct_frames,100
cpp,table_1280x720,inproc,1280,720,921600,run,timer_overhead_ns,21
cpp,table_1280x720,inproc,1280,720,921600,run,ik_iterations_median,9.0
cpp,table_1280x720,inproc,1280,720,921600,run,bail_plane_not_found,0
cpp,table_1280x720,inproc,1280,720,921600,run,bail_not_graspable,0
cpp,table_1280x720,inproc,1280,720,921600,run,bail_ik_not_converged,0
cpp,table_320x240,inproc,320,240,76800,total,p50_ns,13025853.0
cpp,table_320x240,inproc,320,240,76800,total,p90_ns,13538181.0
cpp,table_320x240,inproc,320,240,76800,total,p95_ns,13715187.0
cpp,table_320x240,inproc,320,240,76800,total,p99_ns,15029865.0
cpp,table_320x240,inproc,320,240,76800,total,p99.9_ns,23483886.0
cpp,table_320x240,inproc,320,240,76800,total,max_ns,27855330.0
cpp,table_320x240,inproc,320,240,76800,total,mean_ns,13063035.766
cpp,table_320x240,inproc,320,240,76800,total,samples,2000
cpp,table_320x240,inproc,320,240,76800,stage:decode,p50_ns,26.0
cpp,table_320x240,inproc,320,240,76800,stage:decode,p90_ns,28.0
cpp,table_320x240,inproc,320,240,76800,stage:decode,p95_ns,71.0
cpp,table_320x240,inproc,320,240,76800,stage:decode,p99_ns,90.0
cpp,table_320x240,inproc,320,240,76800,stage:decode,p99.9_ns,221.0
cpp,table_320x240,inproc,320,240,76800,stage:decode,max_ns,3135.0
cpp,table_320x240,inproc,320,240,76800,stage:decode,mean_ns,30.7385
cpp,table_320x240,inproc,320,240,76800,stage:deproject,p50_ns,191131.0
cpp,table_320x240,inproc,320,240,76800,stage:deproject,p90_ns,224715.0
cpp,table_320x240,inproc,320,240,76800,stage:deproject,p95_ns,236266.0
cpp,table_320x240,inproc,320,240,76800,stage:deproject,p99_ns,271579.0
cpp,table_320x240,inproc,320,240,76800,stage:deproject,p99.9_ns,443219.0
cpp,table_320x240,inproc,320,240,76800,stage:deproject,max_ns,470392.0
cpp,table_320x240,inproc,320,240,76800,stage:deproject,mean_ns,198566.236
cpp,table_320x240,inproc,320,240,76800,stage:transform_crop,p50_ns,322546.0
